gene	transcript	GFP1	GFP2	GFP3	NFYA_DN1	NFYA_DN2	NFYA_DN3	PBCAB1	PBCAB2	PBCAB3
hnrpkl	NM_212991	61.53	56.68	58.37	15.16	21.60	20.45	56.31	49.44	57.19
itsn2a	NM_001144800	1.14	1.50	1.10	2.06	1.94	1.68	1.01	2.91	2.24
cry2	NM_131786	17.71	19.39	13.96	16.13	15.96	26.59	31.27	18.34	24.99
rab33ba	NM_001033592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
myo1eb	NM_200636	35.80	38.96	35.89	34.47	36.12	40.65	43.16	43.77	40.40
mylipb	NM_001080022	1.00	0.44	1.42	1.50	1.63	1.59	0.70	0.88	0.80
si:ch211-185a18.2	NM_001258228	9.58	11.93	7.87	8.88	8.53	9.66	11.15	10.46	11.02
foxc1a	NM_131728	125.13	123.74	75.66	93.07	96.61	129.37	247.30	121.22	203.75
or128-10	NM_001128370	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00
tcea1	NM_199994	195.53	179.89	182.34	196.08	200.10	226.20	237.04	184.44	222.78
si:dkey-253d23.3	NM_001114485	12.54	11.50	9.94	9.67	11.84	12.79	25.24	21.13	24.76
cxxc1b	NM_200333	27.90	27.80	25.78	23.74	24.43	26.43	31.78	27.00	32.90
qrsl1	NM_001118898	6.21	6.51	6.98	5.13	4.74	4.94	3.92	5.69	5.82
ercc6l	NM_001100093	43.55	44.00	41.53	37.59	40.73	40.49	45.66	47.56	46.59
rgmd	NM_199573	85.69	91.61	97.10	65.99	70.84	56.93	59.97	78.26	64.06
taar14d	NM_001082912	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rab2a	NM_201454	164.83	169.58	180.80	206.44	203.39	172.04	134.10	165.29	155.03
pomca	NM_181438	0.17	0.00	0.08	0.00	0.43	0.00	0.00	0.09	0.00
atp5j	NM_213307	56.41	55.15	66.62	65.98	66.34	56.51	37.53	64.89	45.75
dnajc7	NM_213290	77.36	83.10	92.39	88.46	85.37	81.67	55.13	87.69	65.21
mir203a	NR_029933	6.63	1.74	1.65	0.00	0.00	3.45	0.00	0.00	0.00
ccnb1	NM_131513	258.42	268.55	271.06	183.16	197.11	203.77	260.02	307.84	258.17
zgc:112966	NM_001013558	3.49	5.03	5.73	4.90	2.61	2.50	2.54	1.60	2.45
tpst1l	NM_200202	18.02	19.84	16.85	6.07	6.84	7.02	29.06	17.12	24.38
homer1b	NM_001002496	0.34	0.76	0.34	1.84	0.88	1.87	0.26	0.85	0.41
zgc:172106	NM_001114563	32.95	33.46	29.80	34.48	32.08	30.92	33.59	40.79	36.67
hdac3	NM_200990	50.70	55.96	62.18	51.81	48.63	51.22	46.94	54.82	47.77
si:dkey-183n20.15	NM_001045200	15.02	13.42	15.67	23.70	21.04	25.83	17.89	26.90	20.68
serinc1	NM_199727	66.93	71.54	65.74	78.71	75.25	73.56	86.07	79.97	80.49
sall3b	NM_001045150	4.04	5.46	5.53	5.05	5.61	4.85	4.91	4.86	4.95
cbx1a	NM_199746	187.85	190.76	197.62	180.68	196.51	180.86	213.18	197.89	214.23
tcerg1a	NM_198357	109.82	114.49	81.14	84.04	79.51	90.79	149.27	86.47	132.68
zgc:194275	NM_001128782	0.15	0.32	1.22	0.16	0.16	0.32	0.00	0.00	0.17
agr1	NM_001099232	368.13	367.16	388.35	497.75	476.14	448.33	287.29	323.80	277.13
pcolceb	NM_001128787	1.43	1.56	0.57	1.08	0.59	0.24	0.00	0.00	0.06
znf326	NM_001082841	0.15	0.10	0.74	0.36	0.25	0.41	0.24	1.08	0.32
senp5	NM_001080197	9.19	10.23	10.86	10.28	9.97	10.94	9.54	9.89	9.79
nfixb	NM_001040248	0.31	0.36	0.21	0.37	0.43	0.29	0.25	0.18	0.34
arpc4l	NM_001003762	69.25	72.49	93.19	69.64	70.83	67.49	59.63	82.17	64.99
cmpk	NM_213109	67.67	69.23	101.66	59.16	54.13	42.32	36.18	80.13	52.44
rab11fip4b	NM_001128825	1.46	1.53	2.30	2.38	1.81	2.62	2.47	1.79	2.92
her8a	NM_199624	238.71	224.05	204.61	199.83	209.32	231.98	244.80	234.76	257.01
csrnp1b	NM_199619	27.15	34.51	21.98	41.04	36.32	40.67	35.66	35.60	34.82
lingo4b	NM_001089381	0.11	0.06	0.17	0.17	0.06	0.00	0.07	0.06	0.12
or125-4	NM_001128567	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tnfsf18	NM_001128818	0.00	0.00	0.00	0.87	0.34	1.38	0.00	0.00	0.00
atad5b	NM_001082829	10.20	11.49	11.73	8.46	8.97	8.16	12.19	14.68	13.00
pdha1b	NM_001002399	0.00	0.00	0.06	0.06	0.12	0.06	0.00	0.12	0.06
mif4gda	NM_200384	14.05	12.39	12.67	14.27	11.30	12.16	14.80	13.94	12.48
ubqln4	NM_213356	325.88	355.28	314.56	373.96	373.06	376.60	335.90	360.21	354.59
tmppe	NM_001080043	1.63	1.56	1.69	3.09	2.37	2.00	1.40	1.37	1.22
fam228a	NM_001045186	0.08	0.09	0.08	0.09	0.08	0.09	0.10	0.09	0.09
acd	NM_001130793	18.00	17.63	18.65	19.56	21.94	25.59	23.14	23.29	26.24
ap2b1	NM_199919	41.37	48.40	49.64	44.81	41.57	42.97	47.11	50.14	46.66
spopla	NM_001013447	27.40	26.18	32.26	26.73	29.66	27.28	24.80	34.53	26.17
pigq	NM_199429	13.62	13.38	13.08	12.21	12.58	13.18	13.56	15.64	13.41
tnni1al	NM_001002101	0.00	0.00	0.12	0.25	0.00	0.25	0.00	0.00	0.13
zgc:162952	NM_001089574	0.87	0.63	1.33	1.19	1.45	0.84	0.56	1.19	1.30
gnrhr2	NM_001144979	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.09	0.00
prune	NM_001160294	8.43	11.64	9.20	16.63	12.56	15.50	9.93	10.38	10.85
zgc:85936	NM_214744	44.39	45.73	36.23	36.55	37.00	40.09	58.64	35.35	50.69
kat5a	NM_001002365	42.65	42.12	41.20	38.12	35.41	35.44	52.01	35.85	45.33
plppr2a	NM_200456	6.20	9.18	7.38	5.84	5.33	6.00	3.22	7.88	5.10
cyp2p6	NM_200139	34.58	35.61	19.25	19.42	20.85	24.86	44.11	21.40	37.52
dusp19b	NM_212979	6.60	6.02	5.72	7.60	6.46	7.21	11.09	7.55	9.86
hs3st3l	NM_001081440	0.00	0.00	0.41	0.43	0.00	0.00	0.00	1.28	0.11
mstnb	NM_131019	0.09	0.29	0.05	0.10	0.24	0.05	0.06	0.29	0.05
mff	NM_200536	24.29	23.73	25.68	31.28	31.83	36.50	27.75	30.13	28.30
si:dkey-22i16.2	NM_001145623	0.00	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00
cnot6b	NM_001110028	2.75	2.44	2.55	2.81	2.52	2.59	3.48	3.95	3.66
rgs7bpa	NM_001076608	0.00	0.10	0.10	0.15	0.25	0.05	0.24	0.05	0.11
lpar6a	NM_001080055	15.53	15.90	20.93	15.74	16.91	17.87	19.82	22.60	20.53
zgc:92140	NM_001004593	10.76	8.76	12.98	4.53	4.50	4.27	10.34	9.81	10.94
LOC101882557	NR_111928	54.56	54.32	52.94	48.27	53.12	49.83	46.64	58.62	47.83
slc5a8l	NM_001034969	0.05	0.00	0.09	0.24	0.28	0.24	0.00	0.14	0.05
tnfaip8l2a	NM_001045301	16.17	17.40	14.93	17.11	16.85	19.54	19.36	21.46	17.08
slc4a4a	NM_001034984	29.05	34.20	20.40	63.29	54.97	48.91	29.88	30.97	28.54
alkbh7	NM_001017609	4.65	5.78	6.77	8.40	6.46	6.25	6.99	5.45	5.62
il17a/f1	NM_001020787	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
slc2a15b	NM_001020494	0.48	0.67	0.64	0.67	0.27	0.44	0.89	0.67	0.75
meaf6	NM_001003756	202.77	195.41	159.19	180.45	183.63	213.73	261.75	170.31	236.57
zgc:113364	NM_001017543	0.61	0.56	0.68	1.76	1.25	0.97	0.37	0.08	0.51
inhbaa	NM_130916	2.55	3.13	2.59	3.69	3.35	3.85	5.23	3.49	4.54
cmklr1	NM_001082812	0.15	0.15	0.22	0.15	0.08	0.00	0.09	0.31	0.16
ptrhd1	NM_001030275	51.21	49.75	58.24	48.20	45.65	44.75	34.60	49.39	42.21
synpr	NM_001004532	0.50	0.75	0.43	0.30	0.00	0.00	0.09	0.00	0.00
trim9	NM_205563	0.48	0.48	0.48	0.65	0.82	0.80	1.05	0.74	0.64
ccdc187	NM_001089533	31.66	33.70	30.20	28.33	27.62	26.60	23.11	30.89	29.52
and1	NM_001197254	1.85	2.34	1.67	2.56	3.12	2.45	0.81	2.94	1.81
itgb5	NM_001082836	18.94	18.71	15.19	13.76	15.90	19.59	34.02	17.15	27.21
ccdc115	NM_001013295	21.74	19.83	14.20	10.11	13.29	21.96	44.23	16.79	38.30
hypk	NM_001127470	330.16	294.82	329.53	316.02	317.02	299.53	292.45	291.36	299.16
clasp2	NM_207072	70.47	77.59	64.76	70.63	71.82	74.82	83.43	73.14	80.73
camk2a	NM_001017741	0.10	0.00	0.00	0.00	0.00	0.11	0.00	0.16	0.05
psma2	NM_001024441	174.86	168.39	173.49	140.28	123.13	112.59	146.85	159.14	148.35
gnb1l	NM_001013508	1.35	3.16	2.44	2.25	2.37	2.72	3.04	2.23	1.79
cyt1	NM_131107	3245.85	3104.38	3956.56	4648.08	4221.61	3577.59	2338.20	2766.01	2374.62
arf4a	NM_001003590	70.04	77.96	88.29	101.31	109.08	106.41	66.87	95.34	74.91
pde6h	NM_001305554,NM_200785	0.17	0.36	0.69	1.82	2.32	1.27	0.21	1.09	0.19
zgc:153921	NM_001076767	0.32	0.51	2.02	7.07	7.19	2.61	0.82	2.61	0.81
gipc3	NM_001045318	0.57	0.36	0.63	0.97	0.53	0.60	0.28	0.54	0.62
bud31	NM_001003860	246.89	252.29	240.93	251.02	262.02	317.22	302.48	266.31	289.59
ebf3a	NM_001080602	2.23	3.04	2.85	2.31	1.47	0.95	0.59	1.97	1.54
ralba	NM_001003649	10.80	13.21	12.83	14.81	15.29	11.10	7.91	12.92	10.66
cbln14	NM_001082987	0.00	0.00	0.00	0.11	0.11	0.11	0.00	0.00	0.12
zgc:153409	NM_001076590	0.00	0.31	0.29	23.36	16.79	16.07	1.07	0.00	0.32
eya2	NM_001004558	19.47	21.20	19.22	18.02	16.76	18.62	18.14	17.77	17.09
prep	NM_001020753	23.08	25.05	28.26	27.54	24.60	24.02	36.64	39.97	34.38
pdcd2l	NM_200223	15.21	14.03	18.24	14.88	15.30	12.32	8.02	17.78	11.70
klhdc4	NM_001126430	22.08	21.66	24.59	18.42	18.31	17.77	24.75	19.94	23.62
zgc:162945	NM_001128809	14.52	14.33	14.07	18.92	20.29	17.99	8.47	12.21	11.17
si:ch73-173h19.3	NM_001110521	0.32	0.57	1.58	0.38	0.37	0.24	0.05	0.85	0.44
znf362b	NM_001089548	5.05	6.96	5.09	4.72	4.70	3.90	5.22	9.54	6.63
si:ch211-244a23.1	NM_001130399,NM_001166323	0.00	0.00	0.01	0.04	0.00	0.02	0.01	0.01	0.01
pde6a	NM_001007160	4.04	4.20	3.11	3.56	3.56	3.77	1.37	5.41	2.60
snrkb	NM_200833	1.31	2.34	1.73	1.79	2.37	1.48	1.32	1.85	1.72
fgf16	NM_001040407	0.17	0.00	0.00	0.18	0.00	0.00	0.21	0.18	0.00
fam213ab	NM_001076713	3.69	4.67	3.40	2.99	3.27	4.69	2.75	6.39	3.92
ppl	NM_001137666	185.12	199.11	158.36	169.13	159.41	177.48	238.99	147.75	213.61
uchl3	NM_001024405	22.75	20.91	39.25	35.21	32.75	27.19	12.40	31.74	16.84
ctrl	NM_001004582	0.00	0.13	0.00	0.89	0.12	0.00	0.44	0.00	0.26
zgc:152968	NM_001077565	0.33	0.27	0.81	0.35	1.26	8.48	30.54	15.06	25.86
stat1b	NM_200091	1.13	1.37	1.03	1.06	1.21	1.38	2.72	1.42	2.32
rdh8a	NM_200707	17.04	16.86	12.26	18.37	18.07	20.09	19.12	12.53	18.91
rap1aa	NM_001002152	144.08	131.81	147.47	134.86	149.01	146.02	111.49	147.47	125.97
zgc:91976	NM_001007325	6.35	6.95	7.62	9.40	9.24	13.40	14.20	8.08	10.72
si:ch211-125e6.14	NM_001111241	0.16	0.17	0.49	0.17	0.00	0.00	0.00	0.00	0.00
si:ch211-214c7.5	NM_001089578	3.28	2.76	3.48	2.20	2.71	2.86	3.74	3.87	3.42
sprn	NM_198981	0.99	0.62	0.59	0.66	0.23	1.10	0.26	0.55	0.24
s100u	NM_001128341	54.02	53.30	63.34	64.42	55.32	43.30	41.96	37.85	45.20
fam53b	NM_001007187	90.43	94.11	85.47	75.59	81.08	79.35	101.44	84.07	98.17
rpz5	NM_001110124	0.68	1.83	1.23	1.42	1.16	1.41	1.62	2.24	1.64
zgc:91999	NM_001003498	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.35	0.00
s100b	NM_001002552	1.58	1.04	3.06	1.57	1.37	1.47	0.93	1.13	0.72
nkiras1	NM_001100076	8.15	8.54	9.67	7.70	9.59	7.71	5.58	9.72	6.52
etv7	NM_001083024	0.05	0.06	0.00	0.00	0.32	0.05	0.13	0.16	0.00
arl14ep	NM_001080753	87.83	92.07	98.80	75.57	78.15	84.75	85.93	85.94	79.69
zgc:172295	NM_001114584	8.50	9.59	10.81	9.88	9.73	7.97	6.02	10.13	8.77
oxt	NM_178291	0.15	0.16	0.00	5.94	7.66	10.86	0.00	0.00	0.00
pola1	NM_001305464	62.72	70.32	63.72	52.91	51.78	49.34	72.08	60.64	68.77
ccni	NM_213221	82.91	82.82	78.71	76.56	75.43	79.30	100.44	73.84	92.94
MGC172218	NM_001110119	7.13	6.47	5.89	2.46	17.32	24.25	22.18	9.99	10.63
cd82a	NM_212661	78.53	80.47	67.10	88.87	87.44	99.96	90.64	69.37	81.65
susd6	NM_001044755	43.21	49.54	38.95	42.49	42.35	46.39	68.51	52.36	66.07
syt1a	NM_001002463	0.47	0.78	1.41	0.50	0.42	0.28	0.24	1.69	0.73
mdkb	NM_131716	406.16	382.34	330.03	262.36	263.93	245.43	355.11	350.72	348.11
pou4f2	NM_212807	0.14	0.14	0.27	0.14	0.28	0.21	0.24	0.07	0.15
slco1d1	NM_001089333	15.17	18.54	15.13	36.09	31.25	21.49	22.89	21.32	20.50
cyp2n13	NM_001007356	0.00	0.00	0.00	0.06	0.06	0.19	0.07	0.00	0.00
sepp1b	NM_178298	111.56	120.23	160.15	192.22	163.01	110.94	81.94	166.08	104.17
irf8	NM_001002622	0.88	0.80	1.05	2.71	2.42	1.29	1.06	1.41	0.63
mrpl28	NM_001024399	59.20	60.87	64.46	55.87	51.16	49.41	55.18	69.70	55.63
hdac10	NM_199775	13.10	11.33	11.89	10.98	9.90	6.02	3.07	9.72	4.32
zgc:171480	NM_001111179	28.27	24.38	32.28	25.06	21.74	26.48	43.01	29.52	34.05
fosb	NM_001007312	0.05	0.11	0.16	0.50	0.00	0.00	0.06	0.11	0.06
mhc2dbb	NM_001076777	0.08	0.08	0.08	0.16	0.08	0.08	0.00	0.08	0.25
tmem229b	NM_001076673	0.32	0.25	0.71	0.75	1.15	0.58	0.29	0.67	0.94
ddit3	NM_001082825	17.29	18.43	21.55	41.22	39.58	41.97	16.87	31.84	21.61
tor4ab	NM_001109861	0.12	0.00	0.23	0.12	0.06	0.12	0.07	0.00	0.13
mapre3b	NM_001002170	9.15	8.70	6.69	11.83	10.88	12.98	9.67	7.74	10.72
st8sia4	NM_001099416	1.17	0.93	1.82	1.73	1.30	1.32	1.51	0.98	2.12
si:ch211-147k10.6	NR_120358	0.07	0.00	0.00	0.43	0.14	0.29	0.08	0.00	0.22
cfp	NM_001160126	9.80	12.14	14.44	7.11	5.89	4.41	12.51	13.42	14.39
ppardb	NM_131468	14.53	13.54	17.26	15.00	14.80	11.08	9.80	13.94	11.71
fam212ab	NM_199788	52.51	47.97	45.80	43.20	53.68	63.02	74.42	57.91	70.69
bag2	NM_201000	2.08	1.83	3.22	3.40	3.25	1.21	0.90	2.69	1.97
zgc:193541	NM_001135972	286.91	249.95	259.47	238.16	246.72	219.12	210.56	256.67	219.71
irf3	NM_001143904	0.55	0.83	0.79	1.33	1.55	1.65	0.76	0.58	0.17
cpsf5	NM_201117	143.83	137.18	143.08	113.34	124.92	131.21	127.29	135.99	132.65
sc:d189	NM_001098260	0.00	0.11	0.00	0.00	0.00	0.22	0.00	0.15	0.06
LOC554962	NM_001123236	6.03	6.22	7.63	5.67	5.06	5.28	6.59	6.80	6.86
mir365-2	NR_030131	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fgf4	NM_131635	2.50	2.65	2.61	1.99	2.05	1.19	1.14	1.32	1.30
esr2a	NM_180966	0.16	0.27	0.16	0.17	0.30	0.17	0.12	0.44	0.14
si:ch211-117m20.5	NM_001252649	0.00	0.17	0.48	6.29	2.17	1.52	0.00	0.51	0.00
hipk2	NM_001099985	5.12	8.14	6.69	7.61	7.08	6.19	8.97	8.70	9.29
zgc:165409	NM_001098756	24.92	23.49	19.88	25.53	22.09	22.19	25.39	26.56	23.11
LOC795545	NR_104060	224.74	199.76	238.38	308.21	276.63	265.10	246.12	291.62	254.14
ak1	NM_001003993	4.66	4.33	8.87	2.80	2.19	1.53	3.99	5.28	3.30
angptl6	NM_001014821	5.85	8.07	11.22	9.53	7.58	3.73	6.34	8.90	5.85
rbm4.3	NM_213317	1434.67	1363.18	1042.75	1210.83	1224.54	1359.11	1543.74	1218.74	1461.18
fezf1	NM_001114348	2.23	3.05	12.26	3.21	2.45	0.71	0.58	4.15	1.67
dbx1a	NM_131158	54.49	55.26	52.30	33.09	35.43	50.00	103.44	55.11	82.23
qars	NM_201213	60.29	54.53	71.23	62.22	63.58	55.09	40.10	72.37	57.15
ssr4	NM_001002082	405.90	387.03	454.68	509.15	536.74	494.76	285.08	405.53	329.55
sigmar1	NM_200977	54.34	52.53	64.24	69.58	62.23	53.06	34.77	53.61	42.09
fbxo8	NM_001040307	2.83	3.62	4.28	4.52	4.37	3.89	3.39	3.49	3.66
fam210b	NM_001033751	16.85	17.37	14.01	24.61	23.24	24.40	19.23	14.33	18.76
hnrnpr	NM_213426	78.74	78.18	62.19	60.52	63.79	57.44	70.31	56.00	65.06
bbip1	NM_001166123	29.15	21.78	23.94	32.50	36.94	27.58	18.45	24.19	22.38
leng8	NM_001089519	37.23	42.74	51.14	49.73	49.13	51.65	67.91	65.94	69.53
th2	NM_001001829	0.00	0.06	0.00	0.00	0.00	0.13	0.00	0.13	0.00
mt2	NM_001131053	37.68	34.88	41.29	105.65	107.91	137.15	112.03	109.22	96.20
mrto4	NM_001017657	238.63	245.92	278.43	252.83	252.52	212.33	196.67	225.10	201.73
ncapd3	NM_200330	36.56	40.19	33.07	35.66	35.69	38.69	53.83	37.24	47.70
taar10	NM_001083038	0.30	0.00	0.00	0.00	0.15	0.39	0.09	0.08	0.16
rbp4	NM_130920	27.51	26.61	101.75	5.91	5.92	4.69	27.86	103.39	41.48
ccdc130	NM_205595	23.95	22.37	24.46	21.52	23.28	20.84	20.40	24.41	25.87
tcf25	NM_001005399	15.02	19.10	19.34	19.80	18.12	21.44	17.08	21.81	18.66
tmem45a	NM_001020617	21.68	22.62	19.78	9.39	8.93	8.38	20.78	12.15	18.62
slc5a6b	NM_001025528	2.42	2.49	2.58	2.12	2.13	1.83	1.11	2.98	1.75
nprl3	NM_001025534	7.89	9.51	7.91	9.31	8.50	7.45	10.34	8.45	9.99
gpr85	NM_131499	0.03	0.00	0.44	0.14	0.14	0.07	0.24	0.32	0.26
cremb	NM_001017664	2.49	2.86	2.56	1.80	4.09	3.49	1.40	2.52	2.77
LOC101887113	NR_125782	424.89	446.62	464.20	288.21	302.31	269.93	433.61	514.58	450.75
si:dkey-72l14.3	NM_001044985	0.00	0.09	0.04	0.05	0.00	0.05	0.00	0.00	0.05
gtf2h1	NM_001004596	18.79	18.33	22.41	21.52	19.64	20.26	18.07	25.47	18.61
prom1b	NM_198071	0.59	0.81	1.30	0.97	0.95	1.12	1.07	1.02	1.46
zgc:165514	NM_001099235	2.36	2.45	2.27	2.84	2.66	2.76	2.21	3.22	1.88
rcn3	NM_001002158	91.19	92.56	131.01	84.59	83.68	59.83	74.59	104.96	80.59
hsdl1	NM_001008607	3.92	3.23	4.35	3.98	4.43	3.62	2.69	5.84	2.77
atp6v1c1a	NM_201322	47.61	46.98	46.33	58.11	60.02	70.07	63.79	58.97	57.95
mybl2b	NM_001003867	65.97	69.60	61.00	57.14	57.77	65.69	104.61	63.47	95.35
chrna10a	NM_001044804	0.00	0.13	0.06	0.00	0.07	0.07	0.00	0.13	0.00
stk16	NM_001017630	26.80	33.17	28.00	30.85	36.31	31.90	31.37	31.31	29.79
zgc:153169	NM_001076766	2.04	2.01	2.09	2.33	2.35	2.44	0.89	2.84	1.00
socs2	NM_001114550	2.30	0.93	4.05	3.53	2.91	1.66	2.12	2.22	2.29
tspan5b	NM_001008591	5.10	7.13	6.91	6.22	5.75	5.47	4.83	6.29	6.01
cyb5d2	NM_001102674	5.73	4.01	6.23	7.69	7.22	5.20	5.22	5.43	5.38
fam160b1	NM_001089566	14.53	20.08	15.67	19.45	17.15	17.70	28.31	23.73	24.48
eif5a2	NM_213262	938.64	1000.20	1093.41	895.41	903.01	779.22	777.15	929.59	853.09
csnk1g2a	NM_001024379	73.98	78.32	64.00	65.84	64.82	74.84	89.34	84.41	82.96
kctd5a	NM_207049	40.78	45.03	36.80	50.44	48.36	48.84	46.52	49.27	48.01
cd22	NM_001083823	0.12	0.13	0.00	0.07	0.00	0.13	0.15	0.39	0.07
enah	NM_001013521	33.41	33.14	38.46	29.21	27.17	17.74	25.12	28.35	26.03
rplp2l	NM_001100436	3336.89	2911.10	3295.33	2644.99	2713.39	2355.60	2999.49	3025.11	2900.26
tesca	NM_213328	6.07	7.30	6.36	12.10	8.44	9.91	9.12	6.92	8.57
npsn	NM_001077779,NM_205756	2.58	1.53	1.25	0.18	0.77	0.03	0.98	1.27	0.00
plxdc2	NM_001146305	60.26	71.34	41.27	28.32	33.26	42.98	85.36	58.59	75.41
slc5a12	NM_200368	2.99	2.74	2.17	2.20	3.28	4.36	20.43	5.01	15.50
zgc:153631	NM_001045424	16.71	16.73	17.37	12.98	15.32	12.46	13.18	15.67	17.05
prpsap1	NM_001002199	154.67	175.19	134.69	176.64	167.24	181.64	159.47	151.19	142.07
si:ch211-138a11.5	NM_001123054	0.58	0.39	0.17	0.31	0.25	0.31	0.31	0.57	0.53
emg1	NM_001040337	118.50	123.60	137.65	95.87	107.50	111.20	102.10	126.32	119.29
mir92b	NR_030047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mir132-2	NR_030081	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00
mir15a-2	NR_030004	0.00	0.00	0.00	1.58	0.00	0.00	0.00	6.29	0.00
atp2b4	NM_001077467	27.42	38.28	24.23	34.11	26.24	33.06	41.72	40.15	42.85
LOC100151273	NM_001256683	18.44	16.53	21.07	20.59	19.89	21.47	20.56	21.26	18.80
wnt4a	NM_001040387	9.21	9.98	12.81	6.85	6.81	3.77	4.18	6.58	5.30
grb2a	NM_001007769	8.75	10.58	9.33	7.78	7.92	6.69	11.24	11.27	10.79
creg1	NM_001080690,NM_001320205	23.92	22.56	21.01	19.50	20.73	19.52	18.55	17.02	18.02
cbsb	NM_001014345	60.22	66.60	57.81	39.21	45.29	48.35	66.36	58.46	65.89
cct3	NM_173250	443.20	458.27	495.90	389.19	399.37	365.21	335.66	439.50	366.96
rtn1b	NM_001029948	3.90	3.77	4.15	4.28	3.36	5.28	6.66	5.95	7.47
adamts9	NM_001257196	0.91	1.24	1.29	0.74	0.96	0.61	0.87	1.18	0.76
spryd7a	NM_214776	48.96	47.63	50.99	58.37	56.68	43.86	46.50	55.45	50.17
slc27a4	NM_001017737	7.20	8.66	4.52	9.20	8.38	11.64	11.37	8.50	13.09
xk	NM_001012254	13.49	11.59	7.13	6.32	10.57	16.53	41.42	12.43	32.53
mir124-5	NR_030063	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15
sec31a	NM_199530	62.87	74.94	68.89	82.95	78.83	78.68	68.43	69.87	73.78
ptpn13	NM_001089543	28.69	33.80	26.02	27.40	26.74	30.91	52.18	35.15	45.48
chchd6b	NM_001007394	19.42	16.26	26.75	32.70	31.83	29.78	13.77	23.07	14.90
acyp1	NM_001122849	2.78	3.28	3.64	4.75	4.30	4.72	10.63	4.36	8.81
ggcta	NM_001144818	2.32	2.72	2.04	4.88	2.67	3.70	2.13	2.28	2.65
pou2f1b	NM_001089329	29.52	31.68	28.82	25.43	23.63	26.20	37.76	34.27	39.07
minpp1a	NM_001077557	15.56	17.70	19.73	16.48	17.74	18.13	21.10	18.39	22.70
denr	NM_001002697	176.21	167.51	175.58	179.45	175.34	184.08	144.45	176.27	152.46
zgc:112185	NM_001013454	19.14	19.25	23.67	25.08	22.02	18.33	25.92	24.12	24.33
ube2j2	NM_001089535	6.19	8.39	6.45	8.11	7.85	8.64	8.11	9.45	7.60
crip1	NM_001159819,NM_001166582	3.40	3.86	4.65	5.36	7.00	4.21	1.44	3.99	1.37
tnip1	NM_001079952	31.35	34.53	29.69	35.28	33.65	34.29	37.86	36.46	38.82
eif3hb	NM_001035264	2.43	3.45	4.52	4.11	2.98	2.20	4.32	3.11	2.53
gba3	NM_001020693	3.62	4.37	2.90	4.55	3.73	3.12	0.94	0.99	0.51
pcdh2aa1	NM_001009585	0.00	0.09	0.00	0.10	0.00	0.04	0.05	0.04	0.00
cav2	NM_001002150	10.45	10.52	16.16	11.86	10.21	7.41	6.94	6.86	7.85
sox9b	NM_131644	92.24	106.90	115.98	104.20	85.91	45.42	34.48	107.14	59.62
wdr35	NM_001145589	26.98	26.82	24.32	17.77	18.25	17.10	33.28	27.15	31.78
pick1	NM_001077336	12.79	16.51	13.98	15.50	14.18	15.44	19.79	16.10	20.21
efnb3b	NM_131806	30.41	42.22	37.82	33.88	32.27	25.17	30.40	34.54	34.64
tpi1a	NM_153667	0.17	0.44	1.01	0.53	0.96	1.24	0.41	0.80	0.64
styx	NM_001024390	59.48	55.99	57.41	46.61	47.87	54.88	63.07	50.21	57.89
gpr22a	NM_001044765	0.00	0.04	0.20	0.04	0.21	0.21	0.00	0.13	0.04
tmem184a	NM_213520	3.62	3.58	4.84	5.87	5.54	6.00	3.76	4.68	4.68
tnnc1a	NM_181498	106.01	115.66	98.17	123.57	121.49	121.26	113.53	125.75	122.24
cdon	NM_001081628	39.83	44.60	52.08	39.25	38.46	31.27	35.88	40.92	39.31
chst2a	NM_001079995	35.10	33.34	35.29	32.43	32.89	31.50	36.87	37.57	36.70
prrg4	NM_001017637	28.89	29.47	23.53	34.09	33.99	39.03	42.94	27.16	41.64
or106-1	NM_001256354	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
mrpl27	NM_001020680	39.09	33.94	46.94	39.97	43.97	37.52	35.69	38.30	35.98
lim2.2	NM_001034990	1.61	2.62	1.42	1.31	1.10	2.05	1.28	1.12	0.77
hif1al	NM_200405	225.17	243.04	234.30	238.78	235.99	230.52	310.22	232.21	286.59
cbln13	NM_001123061	3.36	3.19	1.88	5.07	4.86	2.84	2.89	3.40	2.60
zgc:171220	NM_001109830	5.26	5.87	6.67	7.10	4.76	7.23	5.96	7.12	6.60
rab4a	NM_001126381	11.87	15.45	17.51	15.29	13.33	10.45	11.72	13.45	12.85
usp37	NM_001077343	44.69	44.95	40.62	42.76	43.08	47.32	56.45	44.83	49.47
